,features_importance
alpha79t-8,0.0
alpha79t-7,0.0
alpha79t-6,0.0
alpha79t-5,0.0
alpha79t-4,0.0
alpha79t-3,0.0
alpha79t-20,0.0
alpha79t-2,0.0
alpha79t-19,0.0
alpha79t-18,0.0
alpha79t-17,6.598012999688725e-07
alpha79t-16,0.0
alpha79t-15,0.0
alpha79t-14,0.0
alpha79t-13,0.0
alpha79t-12,0.0
alpha79t-11,0.0
alpha79t-10,4.9649060924900757e-05
alpha79t-1,1.0126108309166857e-06
alpha79t,0.0
alpha78t-9,0.0
alpha78t-8,0.0
alpha78t-7,0.0
alpha78t-6,3.951972729476904e-06
alpha78t-5,0.0
alpha78t-4,0.0
alpha78t-3,0.0
alpha78t-20,0.0
alpha78t-2,0.0
alpha78t-19,1.0973860410425009e-06
alpha78t-18,0.0
alpha78t-17,0.0
alpha78t-16,0.0
alpha78t-15,0.0
alpha78t-14,8.300797216641643e-07
alpha78t-13,0.0
alpha78t-12,0.0
alpha78t-11,0.0
alpha78t-10,0.0
alpha78t-1,0.0
alpha78t,0.0
alpha76t-9,0.0
alpha76t-8,0.0
alpha76t-7,0.0
alpha76t-6,0.0
alpha76t-5,0.0
alpha76t-4,0.0
alpha76t-3,0.0
alpha76t-20,0.0
alpha76t-2,0.0
alpha76t-19,0.0
alpha76t-18,0.0
alpha76t-17,0.0
alpha76t-16,0.0
alpha76t-15,0.0
alpha76t-14,5.104057475196077e-06
alpha76t-13,0.0
alpha76t-12,0.0
alpha76t-11,3.202203314838212e-05
alpha76t-10,0.0
alpha76t-1,0.0
alpha76t,0.0
alpha72t-9,0.0
alpha72t-8,0.0
alpha72t-7,0.0
alpha72t-6,0.0
alpha72t-5,0.0
alpha72t-4,0.0
alpha72t-3,0.0
alpha72t-20,1.080725720085502e-06
alpha72t-2,0.0
alpha72t-19,2.691565568555267e-06
alpha72t-18,0.0
alpha72t-17,0.0
alpha72t-16,0.0
alpha72t-15,0.0
alpha72t-14,0.0
alpha72t-13,0.0
alpha72t-12,0.0
alpha72t-11,0.0
alpha72t-10,0.0
alpha72t-1,0.0
alpha72t,0.0
alpha71t-9,0.0
alpha71t-8,0.0
alpha71t-7,0.0
alpha71t-6,4.546997984678546e-06
alpha71t-5,3.891182384583994e-06
alpha71t-4,0.0
alpha71t-3,2.318583207438432e-06
alpha71t-20,0.0
alpha71t-2,0.0
alpha71t-19,2.8150523929979145e-06
alpha71t-18,0.0
alpha71t-17,0.0
alpha71t-16,0.0
alpha71t-15,0.0
alpha71t-14,0.0
alpha71t-13,0.0
alpha71t-12,0.0
alpha71t-11,1.4610852753843302e-05
alpha71t-10,0.0
alpha71t-1,7.493806159404115e-06
alpha71t,0.00039787600424384006
alpha70t-9,0.0
alpha70t-8,5.742094295794991e-05
alpha70t-7,0.0
alpha70t-6,0.0
alpha70t-5,0.0
alpha70t-4,0.0006590147473078548
alpha70t-3,1.5380166448403549e-06
alpha70t-20,0.0
alpha70t-2,0.0
alpha70t-19,0.0
alpha70t-18,0.0
alpha70t-17,0.0008669459075087402
alpha70t-16,4.114538583585844e-05
alpha70t-15,0.0
alpha70t-14,0.0
alpha70t-13,0.0
alpha70t-12,0.0
alpha70t-11,0.0
alpha70t-10,0.0
alpha70t-1,0.0
alpha70t,0.0
alpha68t-9,0.0
alpha68t-8,0.0
alpha68t-7,0.0
alpha68t-6,0.0
alpha68t-5,0.0
alpha68t-4,0.0
alpha68t-3,0.0
alpha68t-20,0.0
alpha68t-2,0.0
alpha68t-19,5.2792824556606366e-06
alpha68t-18,0.0
alpha68t-17,0.0
alpha68t-16,0.0
alpha68t-15,0.0
alpha68t-14,0.0
alpha68t-13,0.0
alpha68t-12,2.1534132681824317e-06
alpha68t-11,0.0
alpha68t-10,0.0
alpha68t-1,0.0
alpha68t,0.0
alpha67t-9,0.0
alpha67t-8,0.0
alpha67t-7,0.0
alpha67t-6,0.0
alpha67t-5,0.0
alpha67t-4,0.0
alpha67t-3,0.0
alpha67t-20,0.0
alpha67t-2,0.0
alpha67t-19,0.0
alpha67t-18,0.0
alpha67t-17,0.0
alpha67t-16,7.811497597059625e-06
alpha67t-15,6.907583741491176e-06
alpha67t-14,0.0
alpha67t-13,0.0
alpha67t-12,0.0
alpha67t-11,0.0
alpha67t-10,0.0
alpha67t-1,0.0
alpha67t,0.0
alpha66t-9,7.446439164792566e-06
alpha66t-8,0.0
alpha66t-7,1.3077505560217167e-06
alpha66t-6,0.0
alpha66t-5,5.230677789378142e-05
alpha66t-4,0.0
alpha66t-3,0.0
alpha66t-20,0.0
alpha66t-2,0.0
alpha66t-19,0.0
alpha66t-18,2.4265609901149482e-06
alpha66t-17,0.0
alpha66t-16,0.0
alpha66t-15,0.0
alpha66t-14,0.0
alpha66t-13,0.0
alpha66t-12,9.46330773751596e-06
alpha66t-11,0.0
alpha66t-10,2.4586729370351755e-05
alpha66t-1,0.0
alpha66t,0.0
alpha65t-9,0.0
alpha65t-8,0.0
alpha65t-7,0.0
alpha65t-6,0.00017067694650988772
alpha65t-5,0.0
alpha65t-4,9.769925813948714e-06
alpha65t-3,3.95350700942546e-06
alpha65t-20,0.0
alpha65t-2,0.0
alpha65t-19,2.5910678574248372e-06
alpha65t-18,0.0
alpha65t-17,0.0
alpha65t-16,0.0
alpha65t-15,0.0
alpha65t-14,0.0
alpha65t-13,0.0
alpha65t-12,0.0
alpha65t-11,0.0
alpha65t-10,0.0
alpha65t-1,0.0
alpha65t,0.0
alpha63t-9,0.0
alpha63t-8,0.0
alpha63t-7,0.0
alpha63t-6,0.0
alpha63t-5,4.105798745305228e-06
alpha63t-4,0.0
alpha63t-3,0.0
alpha63t-20,0.0
alpha63t-2,0.0
alpha63t-19,0.0
alpha63t-18,0.0
alpha63t-17,0.0
alpha63t-16,0.0
alpha63t-15,0.0
alpha63t-14,0.0
alpha63t-13,0.0
alpha63t-12,0.0
alpha63t-11,0.0
alpha63t-10,0.0
alpha63t-1,0.0
alpha63t,0.0
alpha60t-9,0.0
alpha60t-8,0.0
alpha60t-7,4.346916859853824e-06
alpha60t-6,0.0
alpha60t-5,0.0
alpha60t-4,7.291786665438852e-05
alpha60t-3,0.0
alpha60t-20,0.0
alpha60t-2,0.0
alpha60t-19,0.0
alpha60t-18,0.0
alpha60t-17,0.0
alpha60t-16,0.0
alpha60t-15,0.0
alpha60t-14,0.0
alpha60t-13,0.0
alpha60t-12,0.0
alpha60t-11,0.0
alpha60t-10,0.0
alpha60t-1,0.0
alpha60t,0.0
alpha5t-9,0.0
alpha5t-8,0.00012557984540237867
alpha5t-7,0.0
alpha5t-6,0.00020083540387222292
alpha5t-5,0.0
alpha5t-4,0.0
alpha5t-3,0.0
alpha5t-20,0.0
alpha5t-2,0.0
alpha5t-19,0.0
alpha5t-18,0.0
alpha5t-17,0.0
alpha5t-16,0.0
alpha5t-15,0.0
alpha5t-14,1.728716085998823e-05
alpha5t-13,0.0
alpha5t-12,0.0
alpha5t-11,0.0
alpha5t-10,0.000110408245226192
alpha5t-1,1.724607816929868e-06
alpha5t,0.0
alpha59t-9,0.0
alpha59t-8,0.0
alpha59t-7,0.0
alpha59t-6,0.0
alpha59t-5,5.2458156329257195e-06
alpha59t-4,0.0
alpha59t-3,8.527927443327021e-06
alpha59t-20,0.0
alpha59t-2,3.5338844399992796e-06
alpha59t-19,2.7282649434626706e-05
alpha59t-18,0.0
alpha59t-17,0.0
alpha59t-16,0.0
alpha59t-15,0.0
alpha59t-14,0.0017049438638370028
alpha59t-13,0.0
alpha59t-12,0.0
alpha59t-11,0.0
alpha59t-10,0.0
alpha59t-1,0.0
alpha59t,0.0
alpha58t-9,9.693434210040668e-06
alpha58t-8,0.0
alpha58t-7,0.00011237372220067207
alpha58t-6,0.0
alpha58t-5,0.0
alpha58t-4,0.0
alpha58t-3,0.0
alpha58t-20,0.0
alpha58t-2,0.0
alpha58t-19,6.5077426465140544e-06
alpha58t-18,0.0
alpha58t-17,0.0
alpha58t-16,0.0
alpha58t-15,1.4965606996372051e-06
alpha58t-14,0.0
alpha58t-13,0.0
alpha58t-12,4.052956539708578e-06
alpha58t-11,0.0
alpha58t-10,0.0
alpha58t-1,0.0
alpha58t,0.0
alpha57t-9,0.0
alpha57t-8,0.0
alpha57t-7,0.0
alpha57t-6,0.0
alpha57t-5,0.0
alpha57t-4,0.0
alpha57t-3,0.0
alpha57t-20,0.0
alpha57t-2,0.0
alpha57t-19,1.7827766424104725e-06
alpha57t-18,1.1503140538521428e-05
alpha57t-17,0.0
alpha57t-16,0.0
alpha57t-15,0.0
alpha57t-14,0.0
alpha57t-13,0.0
alpha57t-12,0.0
alpha57t-11,0.0
alpha57t-10,0.0
alpha57t-1,0.0
alpha57t,0.0
alpha53t-9,0.0
alpha53t-8,0.0
alpha53t-7,0.0
alpha53t-6,0.0
alpha53t-5,0.0
alpha53t-4,0.0
alpha53t-3,0.0
alpha53t-20,0.0
alpha53t-2,0.0
alpha53t-19,0.0
alpha53t-18,0.0
alpha53t-17,0.0
alpha53t-16,0.0
alpha53t-15,0.0
alpha53t-14,0.0
alpha53t-13,0.0
alpha53t-12,0.0
alpha53t-11,0.0
alpha53t-10,0.0
alpha53t-1,0.0
alpha53t,0.0
alpha52t-9,0.0
alpha52t-8,0.0
alpha52t-7,0.0002459987133016926
alpha52t-6,0.0
alpha52t-5,0.0
alpha52t-4,0.0
alpha52t-3,0.0
alpha52t-20,0.0
alpha52t-2,0.0
alpha52t-19,0.0
alpha52t-18,0.0
alpha52t-17,0.0
alpha52t-16,0.0
alpha52t-15,0.0
alpha52t-14,0.0
alpha52t-13,0.0
alpha52t-12,0.0
alpha52t-11,0.0
alpha52t-10,0.0
alpha52t-1,2.4915224398661894e-06
alpha52t,0.0
alpha4t-9,0.0
