,features_importance
alpha65t-11,0.0
alpha65t-10,0.0
alpha65t-1,0.001153583158532378
alpha65t,0.00016506618720264098
alpha63t-9,0.0
alpha63t-8,0.0
alpha63t-7,0.0
alpha63t-6,0.0
alpha63t-5,0.0
alpha63t-4,0.0
alpha63t-3,0.0
alpha63t-20,0.0
alpha63t-2,0.0
alpha63t-19,0.0
alpha63t-18,0.0
alpha63t-17,0.0
alpha63t-16,0.0
alpha63t-15,0.0
alpha63t-14,0.0
alpha63t-13,0.0
alpha63t-12,0.0
alpha63t-11,0.0
alpha63t-10,0.0
alpha63t-1,0.0
alpha63t,0.0
alpha60t-9,9.287599677105475e-05
alpha60t-8,0.0
alpha60t-7,0.0
alpha60t-6,3.269248136647761e-05
alpha60t-5,0.0
alpha60t-4,0.0
alpha60t-3,0.0
alpha60t-20,0.0
alpha60t-2,0.0
alpha60t-19,0.0
alpha60t-18,0.0
alpha60t-17,0.0
alpha60t-16,0.0
alpha60t-15,0.0
alpha60t-14,0.0
alpha60t-13,0.0
alpha60t-12,0.0
alpha60t-11,0.0
alpha60t-10,0.0
alpha60t-1,1.8712011090692393e-05
alpha60t,1.8700842819223474e-05
alpha5t-9,0.0
alpha5t-8,0.0
alpha5t-7,7.917135403260682e-06
alpha5t-6,0.0
alpha5t-5,0.0
alpha5t-4,0.0
alpha5t-3,0.0
alpha5t-20,0.0
alpha5t-2,7.892233083083073e-07
alpha5t-19,0.0
alpha5t-18,0.0
alpha5t-17,0.0
alpha5t-16,2.45064421564038e-06
alpha5t-15,0.0
alpha5t-14,0.0
alpha5t-13,0.0
alpha5t-12,0.0
alpha5t-11,0.0
alpha5t-10,0.0
alpha5t-1,0.0
alpha5t,0.0
alpha59t-9,0.0
alpha59t-8,0.0
alpha59t-7,1.148404873162694e-05
alpha59t-6,0.0
alpha59t-5,3.0284859742694673e-05
alpha59t-4,0.0
alpha59t-3,0.0
alpha59t-20,0.0
alpha59t-2,0.0
alpha59t-19,0.0
alpha59t-18,0.0
alpha59t-17,0.0
alpha59t-16,0.0
alpha59t-15,9.221221379292756e-06
alpha59t-14,2.3749477618158828e-05
alpha59t-13,0.0
alpha59t-12,0.0
alpha59t-11,0.0
alpha59t-10,0.0
