,features_importance
alpha78t-6,0.0
alpha78t-5,0.0
alpha78t-4,0.0
alpha78t-3,0.0
alpha78t-20,0.0
alpha78t-2,0.0
alpha78t-19,0.0
alpha78t-18,0.0
alpha78t-17,0.0
alpha78t-16,0.0
alpha78t-15,0.0
alpha78t-14,0.0
alpha78t-13,0.0
alpha78t-12,0.0
alpha78t-11,0.0
alpha78t-10,0.0
alpha78t-1,0.0
alpha78t,0.0
alpha76t-9,0.0
alpha76t-8,0.0
alpha76t-7,0.0
alpha76t-6,0.0
alpha76t-5,0.0
alpha76t-4,0.0
alpha76t-3,0.0
alpha76t-20,0.0
alpha76t-2,0.0
alpha76t-19,0.0
alpha76t-18,0.0
alpha76t-17,0.0
alpha76t-16,0.0
alpha76t-15,0.0
alpha76t-14,0.0
alpha76t-13,0.0
alpha76t-12,0.0
alpha76t-11,0.0
alpha76t-10,0.0
alpha76t-1,0.0
alpha76t,0.0
alpha72t-9,0.0
alpha72t-8,0.0010532502
alpha72t-7,0.0
alpha72t-6,0.0
alpha72t-5,0.0
alpha72t-4,0.0
alpha72t-3,0.0
alpha72t-20,0.0
alpha72t-2,0.0
alpha72t-19,0.0
alpha72t-18,0.0
alpha72t-17,0.0
alpha72t-16,0.0
alpha72t-15,0.0
alpha72t-14,0.0
alpha72t-13,0.0
alpha72t-12,0.0
alpha72t-11,0.0009645527
alpha72t-10,0.0
alpha72t-1,0.0
alpha72t,0.0
alpha71t-9,0.0
alpha71t-8,0.0
alpha71t-7,0.0
alpha71t-6,0.0
alpha71t-5,0.0
alpha71t-4,0.0
alpha71t-3,0.0
alpha71t-20,0.0
alpha71t-2,0.02134859
alpha71t-19,0.0
alpha71t-18,0.0
alpha71t-17,0.0
alpha71t-16,0.0
alpha71t-15,0.0
alpha71t-14,0.0
alpha71t-13,0.0
alpha71t-12,0.0
alpha71t-11,0.0013517835
alpha71t-10,0.0
alpha71t-1,0.0
alpha71t,0.0
alpha70t-9,0.0055062533
alpha70t-8,0.0
alpha70t-7,0.0
alpha70t-6,0.0
alpha70t-5,0.0
alpha70t-4,0.0
alpha70t-3,0.0018214459
alpha70t-20,0.0
alpha70t-2,0.0
alpha70t-19,0.0
alpha70t-18,0.0
alpha70t-17,0.0
alpha70t-16,0.0
alpha70t-15,0.00095790025
alpha70t-14,0.0
alpha70t-13,0.0
alpha70t-12,0.0
alpha70t-11,0.0
alpha70t-10,0.0
alpha70t-1,0.0
alpha70t,0.0005643004
alpha68t-9,0.0
alpha68t-8,0.0
alpha68t-7,0.0
alpha68t-6,0.0
alpha68t-5,0.0
alpha68t-4,0.0
alpha68t-3,0.0
alpha68t-20,0.0
alpha68t-2,0.0
alpha68t-19,0.0
alpha68t-18,0.0
alpha68t-17,0.0
alpha68t-16,0.0
alpha68t-15,0.0
alpha68t-14,0.0
alpha68t-13,0.0
alpha68t-12,0.0
alpha68t-11,0.0
alpha68t-10,0.0
alpha68t-1,0.0
alpha68t,0.0
alpha67t-9,0.0
alpha67t-8,0.0
alpha67t-7,0.0
alpha67t-6,0.0
alpha67t-5,0.0
alpha67t-4,0.02092792
alpha67t-3,0.0
alpha67t-20,0.0
alpha67t-2,0.0
alpha67t-19,0.0
alpha67t-18,0.0
alpha67t-17,0.0
alpha67t-16,0.0
alpha67t-15,0.0
alpha67t-14,0.0
alpha67t-13,0.0
alpha67t-12,0.0
alpha67t-11,0.0
alpha67t-10,0.0
alpha67t-1,0.0
alpha67t,0.0
alpha66t-9,0.0
alpha66t-8,0.0
alpha66t-7,0.0
alpha66t-6,0.0
alpha66t-5,0.0
alpha66t-4,0.0
alpha66t-3,0.0
alpha66t-20,0.0
alpha66t-2,0.0
alpha66t-19,0.0
alpha66t-18,0.0
alpha66t-17,0.0
alpha66t-16,0.0
alpha66t-15,0.0
alpha66t-14,0.0
alpha66t-13,0.0
alpha66t-12,0.0
alpha66t-11,0.0
alpha66t-10,0.0
alpha66t-1,0.0
alpha66t,0.0
alpha65t-9,0.0
alpha65t-8,0.0
alpha65t-7,0.0
alpha65t-6,0.0
alpha65t-5,0.0
alpha65t-4,0.0
alpha65t-3,0.0
alpha65t-20,0.0
alpha65t-2,0.0
alpha65t-19,0.0
alpha65t-18,0.0
alpha65t-17,0.0
alpha65t-16,0.0
alpha65t-15,0.0
alpha65t-14,0.0
alpha65t-13,0.0
alpha65t-12,0.0
alpha65t-11,0.0
alpha65t-10,0.0
alpha65t-1,0.0
alpha65t,0.010533368
alpha63t-9,0.0
alpha63t-8,0.0
alpha63t-7,0.0
alpha63t-6,0.0
alpha63t-5,0.0
alpha63t-4,0.0
alpha63t-3,0.0
alpha63t-20,0.0
alpha63t-2,0.0
alpha63t-19,0.0
alpha63t-18,0.0
alpha63t-17,0.0
alpha63t-16,0.0
alpha63t-15,0.0
alpha63t-14,0.0
alpha63t-13,0.0
alpha63t-12,0.0
alpha63t-11,0.0
alpha63t-10,0.0
alpha63t-1,0.0
alpha63t,0.0
alpha60t-9,0.0
alpha60t-8,0.0
alpha60t-7,0.0
alpha60t-6,0.0
alpha60t-5,0.0
alpha60t-4,0.0
alpha60t-3,0.0
alpha60t-20,0.0
alpha60t-2,0.0
alpha60t-19,0.0
alpha60t-18,0.0022004165
alpha60t-17,0.0
alpha60t-16,0.0
alpha60t-15,0.0
alpha60t-14,0.0007046317
alpha60t-13,0.0
alpha60t-12,0.0
alpha60t-11,0.0
alpha60t-10,0.0
alpha60t-1,0.0
alpha60t,0.0014353615
alpha5t-9,0.0
alpha5t-8,0.0
alpha5t-7,0.0
alpha5t-6,0.0
alpha5t-5,0.0
alpha5t-4,0.0
alpha5t-3,0.0
alpha5t-20,0.0
alpha5t-2,0.00086660753
alpha5t-19,0.0
alpha5t-18,0.0
alpha5t-17,0.0012544899
alpha5t-16,0.0
alpha5t-15,0.0
alpha5t-14,0.0
alpha5t-13,0.0
alpha5t-12,0.0
alpha5t-11,0.0
alpha5t-10,0.0
alpha5t-1,0.0
alpha5t,0.00013591796
alpha59t-9,0.0
alpha59t-8,0.0
alpha59t-7,0.0011281744
alpha59t-6,0.0
alpha59t-5,0.0010539878
alpha59t-4,0.0
alpha59t-3,0.0
alpha59t-20,0.0
alpha59t-2,0.0
alpha59t-19,0.0
alpha59t-18,0.0
alpha59t-17,0.0
alpha59t-16,0.0
alpha59t-15,0.0
alpha59t-14,0.0
alpha59t-13,0.0
alpha59t-12,0.0
alpha59t-11,0.0
alpha59t-10,0.0
alpha59t-1,0.0
alpha59t,0.0
alpha58t-9,0.0
alpha58t-8,0.0
alpha58t-7,0.0
alpha58t-6,0.0
alpha58t-5,0.0
alpha58t-4,0.0
alpha58t-3,0.0
alpha58t-20,0.0
alpha58t-2,0.0
alpha58t-19,0.0
alpha58t-18,0.0
alpha58t-17,0.0
alpha58t-16,0.0
alpha58t-15,0.0
alpha58t-14,0.0
alpha58t-13,0.0
alpha58t-12,0.0
alpha58t-11,0.0
alpha58t-10,0.0
alpha58t-1,0.0
alpha58t,0.0
alpha57t-9,0.0
alpha57t-8,0.00065472105
alpha57t-7,0.0
alpha57t-6,0.0
alpha57t-5,0.0
alpha57t-4,0.0
alpha57t-3,0.0
alpha57t-20,0.0
alpha57t-2,0.0
alpha57t-19,0.0
alpha57t-18,0.0
alpha57t-17,0.0
alpha57t-16,0.00082966534
alpha57t-15,0.0
alpha57t-14,0.0
alpha57t-13,0.0
alpha57t-12,0.0
alpha57t-11,0.0
alpha57t-10,0.0
alpha57t-1,0.0
alpha57t,0.0
alpha53t-9,0.0
alpha53t-8,0.0
alpha53t-7,0.0
alpha53t-6,0.0
alpha53t-5,0.0
alpha53t-4,0.0
alpha53t-3,0.0
alpha53t-20,0.0
alpha53t-2,0.0
alpha53t-19,0.0
alpha53t-18,0.0
alpha53t-17,0.0
alpha53t-16,0.0
alpha53t-15,0.0
alpha53t-14,0.0
alpha53t-13,0.0
alpha53t-12,0.0
alpha53t-11,0.0
alpha53t-10,0.0
alpha53t-1,0.0
alpha53t,0.0
alpha52t-9,0.0
alpha52t-8,0.0
alpha52t-7,0.0
alpha52t-6,0.0
alpha52t-5,0.0
alpha52t-4,0.0
alpha52t-3,0.0
alpha52t-20,0.0013170087
alpha52t-2,0.0
alpha52t-19,0.0
alpha52t-18,0.0
alpha52t-17,0.0
alpha52t-16,0.0
alpha52t-15,0.0
alpha52t-14,0.0
alpha52t-13,0.0
alpha52t-12,0.0
alpha52t-11,0.0
alpha52t-10,0.0
alpha52t-1,0.0
alpha52t,0.0
alpha4t-9,0.0
alpha4t-8,0.0
alpha4t-7,0.0
alpha4t-6,0.0
alpha4t-5,0.0
alpha4t-4,0.0
alpha4t-3,0.0
alpha4t-20,0.0
alpha4t-2,0.0
alpha4t-19,0.0
alpha4t-18,0.0
alpha4t-17,0.0
alpha4t-16,0.0
alpha4t-15,0.0
alpha4t-14,0.0
alpha4t-13,0.0
alpha4t-12,0.0
alpha4t-11,0.0
alpha4t-10,0.0
alpha4t-1,0.0
alpha4t,0.00017184205
