,features_importance
alpha83t-8,4.5812666551965645e-06
alpha83t-7,2.5653614691062653e-06
alpha83t-6,1.233478585193685e-07
alpha83t-5,8.990120459111722e-06
alpha83t-4,6.526570802731771e-06
alpha83t-3,7.73955888069786e-06
alpha83t-20,1.3377458468501026e-06
alpha83t-2,8.594558857841079e-07
alpha83t-19,5.9818083509571154e-05
alpha83t-18,7.107377412988858e-06
alpha83t-17,3.986188803674738e-06
alpha83t-16,8.93022620575841e-06
alpha83t-15,3.9930210796055204e-07
alpha83t-14,9.280137245152874e-07
alpha83t-13,9.130994243092686e-07
alpha83t-12,0.00020527323239775123
alpha83t-11,1.2997418819682144e-05
alpha83t-10,5.720503235809757e-07
alpha83t-1,2.9227807014043307e-06
alpha83t,5.966887651669401e-06
alpha82t-9,1.1964089181407786e-06
alpha82t-8,2.4421290545613134e-05
alpha82t-7,2.373599975704937e-05
alpha82t-6,1.3612487888512684e-05
alpha82t-5,1.0178814763400693e-06
alpha82t-4,3.359680501734961e-06
alpha82t-3,0.0006121426224288055
alpha82t-20,7.351062655582202e-05
alpha82t-2,0.0009579378644456727
alpha82t-19,5.8189750410152015e-05
alpha82t-18,3.376166824823838e-05
alpha82t-17,7.00160559935676e-06
alpha82t-16,1.8231012475777757e-06
alpha82t-15,1.8682926401366977e-05
alpha82t-14,2.39831594190115e-07
alpha82t-13,0.0
alpha82t-12,4.805657618259395e-06
alpha82t-11,1.1705896072726518e-06
alpha82t-10,3.1768087385062645e-07
alpha82t-1,1.8165305093064298e-07
alpha82t,3.690725158030218e-05
alpha81t-9,4.6151464691581546e-05
alpha81t-8,1.6299455982067346e-06
alpha81t-7,1.1543569248048756e-05
alpha81t-6,5.070956768707012e-06
alpha81t-5,1.8617306152292815e-06
alpha81t-4,0.00024178156341653198
alpha81t-3,6.5341510407482404e-06
alpha81t-20,4.649281058542127e-07
alpha81t-2,1.0931957816334592e-05
alpha81t-19,1.449879872058164e-05
alpha81t-18,3.796124361778641e-05
alpha81t-17,9.340865365512042e-06
alpha81t-16,6.992046233153203e-05
alpha81t-15,7.222945171806169e-07
alpha81t-14,3.7831775026918007e-05
alpha81t-13,0.0002155879853009894
alpha81t-12,1.419814825692215e-06
alpha81t-11,1.4298348827245509e-06
alpha81t-10,5.223945675284788e-05
alpha81t-1,0.00018067785721210633
alpha81t,9.122667607669853e-05
alpha80t-9,2.4333973777441158e-05
alpha80t-8,3.705935113549979e-07
alpha80t-7,9.018265458164269e-07
alpha80t-6,0.0
alpha80t-5,1.4905154481183066e-05
alpha80t-4,3.240320443305006e-05
alpha80t-3,0.00014583712519470872
alpha80t-20,0.0001607962503068975
alpha80t-2,3.121233957974698e-05
alpha80t-19,5.330484640208942e-06
alpha80t-18,3.675441358864129e-07
alpha80t-17,1.1460440420578384e-06
alpha80t-16,4.3427682670509375e-06
alpha80t-15,6.285372430953489e-06
alpha80t-14,2.6042791615981292e-06
alpha80t-13,8.883763210554825e-07
alpha80t-12,1.6400430683394386e-06
alpha80t-11,1.0980828514689448e-05
alpha80t-10,1.3839625431089288e-06
alpha80t-1,2.534590609570768e-07
alpha80t,3.484381621748651e-07
alpha79t-9,1.0413001184107118e-07
alpha79t-8,1.2399079714982447e-06
alpha79t-7,1.4610279353467394e-06
alpha79t-6,9.110412943705758e-07
alpha79t-5,8.276452876269226e-05
alpha79t-4,7.041987597442571e-06
alpha79t-3,2.1348544687131353e-06
alpha79t-20,1.8437050456723479e-06
alpha79t-2,1.1521204019958129e-07
alpha79t-19,4.269817144495453e-05
alpha79t-18,3.438149019302223e-05
alpha79t-17,3.991061019846942e-06
alpha79t-16,5.717093291992167e-07
alpha79t-15,0.0
alpha79t-14,3.4677421143606395e-07
alpha79t-13,4.358424252105606e-07
alpha79t-12,0.0
alpha79t-11,0.0
alpha79t-10,0.0
alpha79t-1,8.403962149359709e-06
alpha79t,1.4300146308835998e-06
alpha78t-9,7.347723049263692e-08
alpha78t-8,5.1293545568114894e-05
alpha78t-7,3.172811057591645e-07
alpha78t-6,0.0
alpha78t-5,4.136456935964706e-06
alpha78t-4,1.1481472743980859e-05
alpha78t-3,9.198958742713937e-07
alpha78t-20,1.0627363016715117e-05
alpha78t-2,2.425733829841444e-06
alpha78t-19,1.5895166542474156e-06
alpha78t-18,1.308433041186043e-07
alpha78t-17,2.6638466364558236e-06
alpha78t-16,9.28379697286113e-06
alpha78t-15,2.888624641945685e-06
alpha78t-14,0.0
alpha78t-13,0.0
alpha78t-12,3.183359809503284e-07
alpha78t-11,1.3422048878919485e-05
alpha78t-10,1.0187538393280148e-06
alpha78t-1,3.402005772724428e-06
alpha78t,1.0808756897766807e-05
alpha76t-9,1.8185620069345868e-05
alpha76t-8,5.490884820043871e-06
alpha76t-7,7.010486416492703e-06
alpha76t-6,4.155179589555924e-07
alpha76t-5,5.159851781552785e-07
alpha76t-4,2.5274393602907625e-06
alpha76t-3,1.2751922521319017e-05
alpha76t-20,4.43252161063717e-05
alpha76t-2,6.7674363289179595e-06
alpha76t-19,2.5244946794501806e-06
alpha76t-18,0.00020964635726705995
alpha76t-17,7.597322010622614e-06
alpha76t-16,4.193948330957455e-06
alpha76t-15,1.6251543939614115e-05
alpha76t-14,4.0734836086976494e-05
alpha76t-13,2.330531595397512e-05
alpha76t-12,1.870662771989359e-06
alpha76t-11,8.422645220511198e-07
alpha76t-10,1.2012886167446396e-06
alpha76t-1,1.875128429898473e-05
alpha76t,3.656887429093425e-07
alpha72t-9,7.705246460442093e-07
alpha72t-8,1.9263168412972914e-05
alpha72t-7,1.5606611422076715e-05
alpha72t-6,4.876100303447464e-07
alpha72t-5,3.354068478473362e-05
alpha72t-4,4.790319858574931e-06
alpha72t-3,0.0
alpha72t-20,0.0
alpha72t-2,6.17075355755333e-05
alpha72t-19,1.3870467041685437e-06
alpha72t-18,8.467874817608703e-05
alpha72t-17,1.8494672626150957e-05
alpha72t-16,2.7754741829633027e-06
alpha72t-15,2.1344359241160513e-06
alpha72t-14,0.0
alpha72t-13,0.00010279706862895783
alpha72t-12,3.9488881070109075e-05
alpha72t-11,5.6391767392316626e-05
alpha72t-10,1.8210492800170947e-06
alpha72t-1,4.9317731911346365e-05
alpha72t,2.2146765038020327e-07
alpha71t-9,2.356134957827495e-07
alpha71t-8,8.640967446236669e-05
alpha71t-7,1.2074364486130281e-05
alpha71t-6,0.00043284062463673034
alpha71t-5,0.0
alpha71t-4,5.643356910909547e-06
alpha71t-3,7.377241976714236e-07
alpha71t-20,1.8881328778460679e-06
alpha71t-2,1.4833075664082315e-05
alpha71t-19,3.299811712974799e-05
alpha71t-18,3.4543874995947188e-06
alpha71t-17,2.0604972939649403e-05
alpha71t-16,7.916322495511426e-06
alpha71t-15,4.8802350199133484e-05
alpha71t-14,5.097651037500274e-05
alpha71t-13,2.454346588596548e-06
alpha71t-12,1.3880772499963653e-07
alpha71t-11,0.0002597817809448816
alpha71t-10,0.0
alpha71t-1,0.0004797420211390158
alpha71t,6.056597804417172e-06
alpha70t-9,7.932087858485477e-07
alpha70t-8,2.9544110898017903e-06
alpha70t-7,9.44590748551158e-06
alpha70t-6,4.073875026916391e-06
alpha70t-5,0.0001052114946280935
alpha70t-4,5.504695443846698e-07
alpha70t-3,0.0
alpha70t-20,1.6229211169599656e-05
alpha70t-2,2.6891244363206235e-06
alpha70t-19,2.450020268298461e-05
alpha70t-18,1.2733595973162188e-05
alpha70t-17,1.8264593155122037e-07
alpha70t-16,9.087812446106818e-06
alpha70t-15,0.00015264141738903798
alpha70t-14,2.790362755258007e-07
alpha70t-13,7.37821477046911e-06
alpha70t-12,4.844192150437704e-07
alpha70t-11,5.1241242082445784e-05
alpha70t-10,1.5832195335075315e-06
alpha70t-1,1.8211244534847283e-06
alpha70t,5.721882372325744e-07
alpha68t-9,2.7882988494424286e-07
alpha68t-8,4.922022206912904e-06
alpha68t-7,1.5302222611436483e-07
alpha68t-6,6.204760631276857e-05
alpha68t-5,0.0
alpha68t-4,2.5368739604209735e-06
alpha68t-3,2.088413287872389e-06
alpha68t-20,7.525084691023843e-06
alpha68t-2,7.749290320077179e-07
alpha68t-19,2.6432525844598285e-07
alpha68t-18,7.150537727353647e-07
alpha68t-17,1.9280716520394582e-07
alpha68t-16,5.539654938589019e-06
alpha68t-15,1.3148522807436539e-05
alpha68t-14,1.2793624788240725e-06
alpha68t-13,7.691682383604834e-07
alpha68t-12,8.77134951416169e-06
alpha68t-11,4.528330400427241e-06
alpha68t-10,1.2763593095068085e-06
alpha68t-1,4.262587087486336e-05
alpha68t,1.449529854400418e-06
alpha67t-9,1.241542756887906e-05
alpha67t-8,3.0051288089020124e-07
alpha67t-7,5.566303753532171e-07
alpha67t-6,8.909863752023159e-07
alpha67t-5,2.2831435479390358e-07
alpha67t-4,6.11132985619681e-06
alpha67t-3,0.0
alpha67t-20,6.771384254468301e-06
alpha67t-2,4.900352799985986e-05
alpha67t-19,0.0
alpha67t-18,4.40183453508749e-06
alpha67t-17,5.154679870507662e-06
alpha67t-16,8.315866116789875e-08
alpha67t-15,4.155689492704533e-07
alpha67t-14,6.497739943265811e-07
alpha67t-13,0.0
alpha67t-12,6.401567502770629e-07
alpha67t-11,0.0
alpha67t-10,3.3067174547427123e-07
alpha67t-1,8.274094904191839e-05
alpha67t,3.704263779765689e-05
alpha66t-9,7.916507505316041e-06
alpha66t-8,1.9050928927593143e-07
alpha66t-7,4.4464975798236865e-06
alpha66t-6,1.0221687574496351e-05
alpha66t-5,9.225264008874074e-05
alpha66t-4,4.435660517068855e-06
alpha66t-3,1.5494982964838611e-06
alpha66t-20,7.839597622395889e-07
alpha66t-2,3.2598664197608462e-06
alpha66t-19,4.426835755893102e-05
alpha66t-18,1.3527985007124281e-05
alpha66t-17,2.5914955070887783e-05
alpha66t-16,3.536216208680428e-05
alpha66t-15,8.142801050862677e-07
alpha66t-14,5.692427708801636e-06
alpha66t-13,1.8800438813706708e-06
alpha66t-12,1.408206588043874e-06
alpha66t-11,1.4130580474295057e-06
alpha66t-10,2.5530611254726364e-06
alpha66t-1,0.008453215521085891
alpha66t,2.5769013226085513e-05
alpha65t-9,0.0
alpha65t-8,4.1910981094347365e-06
alpha65t-7,2.763418962829795e-05
alpha65t-6,1.7457961171764022e-05
alpha65t-5,0.0
alpha65t-4,1.0387407824570389e-06
alpha65t-3,2.1466129031171406e-05
alpha65t-20,1.845876529541963e-06
alpha65t-2,0.00017658118385691906
alpha65t-19,0.0
alpha65t-18,6.73103226609329e-06
alpha65t-17,0.0
alpha65t-16,9.310887047575608e-06
alpha65t-15,3.5222126743544625e-06
alpha65t-14,3.2273986715754655e-06
alpha65t-13,4.3159794497745795e-07
alpha65t-12,1.348897447934775e-06
alpha65t-11,0.0003685478889959572
alpha65t-10,4.126927934931435e-06
alpha65t-1,0.013704824373175592
alpha65t,0.006544720525436784
alpha63t-9,5.349513871574453e-06
alpha63t-8,2.475927728350161e-06
alpha63t-7,1.372979408449927e-06
alpha63t-6,9.671383494251387e-07
alpha63t-5,0.0
alpha63t-4,4.102932086286833e-07
alpha63t-3,0.0006878815255106312
alpha63t-20,3.307043110727132e-06
alpha63t-2,1.2329947502496435e-05
alpha63t-19,1.1160145282888467e-06
alpha63t-18,1.7728425587116302e-07
alpha63t-17,1.7777250412592933e-05
alpha63t-16,1.4395512665546738e-06
alpha63t-15,1.3263085543986417e-06
alpha63t-14,1.2881994900315978e-05
alpha63t-13,2.768010599172835e-05
alpha63t-12,0.0
alpha63t-11,2.3723776183059688e-07
alpha63t-10,5.932322333881468e-07
alpha63t-1,1.2511256801733996e-05
alpha63t,4.226283741029558e-05
alpha60t-9,1.6115913209320715e-06
alpha60t-8,1.0547226305848743e-06
alpha60t-7,3.146503159470702e-05
alpha60t-6,7.795615909698984e-06
alpha60t-5,8.500598663858924e-06
alpha60t-4,1.4792796280763655e-05
alpha60t-3,0.0004299568856904378
alpha60t-20,0.0
alpha60t-2,0.00019958201562205474
alpha60t-19,3.017251451108115e-07
alpha60t-18,3.934744986927469e-06
alpha60t-17,1.5503950581748865e-05
alpha60t-16,6.614440057115096e-07
alpha60t-15,2.3489681112614392e-07
alpha60t-14,1.6150600321160565e-06
alpha60t-13,2.330959480915611e-05
alpha60t-12,1.44911485979326e-05
alpha60t-11,8.258923899602564e-06
alpha60t-10,0.0
alpha60t-1,7.455631574302856e-05
alpha60t,2.9119270233487517e-05
alpha5t-9,6.457280696794023e-05
alpha5t-8,1.758645321600636e-05
alpha5t-7,1.9608051061028736e-05
alpha5t-6,1.503142925853099e-07
alpha5t-5,6.956634076413839e-05
